# Arecibo data during the superior conjunction of Venus 1970/1971 
# Meaning of columns: MJD, Delay in microsec, upper error, lower error
-197.097006,21.174201,5.358432,4.286745
-192.628191,21.420913,4.822589,5.048207
-190.320858,19.048198,4.596970,5.386634
-183.620375,27.159959,4.766184,5.386634
-176.226687,23.510018,4.907195,4.907195
-172.564279,27.057750,5.076409,4.737982
-161.671012,30.678580,4.484161,5.048207
-154.570156,36.928314,3.920116,4.991802
-147.924009,40.978947,4.935398,5.161016
-138.142615,40.963376,4.935398,4.991802
-134.977935,39.096949,3.976520,4.371352
-130.683270,42.220631,7.276186,7.106973
-127.895190,43.992974,6.683939,7.191580
-120.729989,39.158876,7.219782,6.486523
-112.786500,44.815008,7.135175,6.909557
-109.197674,42.863297,6.937759,6.148095
-105.386020,41.672708,7.106973,6.824950
65.136109,72.114181,14.636980,15.144620
74.400531,65.246135,14.890800,15.116418
80.353291,65.152050,4.653375,5.161016
82.166293,57.618996,4.850791,5.471241
89.723943,50.330624,10.040009,9.701582
92.928245,51.425435,4.935398,4.991802
96.935557,48.965406,5.358432,4.850791
107.000908,54.279726,5.161016,4.484161
114.717992,43.014494,4.850791,5.132814
117.011740,39.626498,6.712141,7.445400
120.642452,40.805239,4.737982,5.132814
131.965524,44.763819,6.119893,5.386634
144.833490,37.043950,5.584050,4.737982
147.408930,38.816631,5.386634,4.709780
149.502492,36.359648,4.907195,5.076409
153.958855,35.675685,4.850791,5.076409
157.068066,29.663523,4.653375,5.499443
159.871994,32.620361,4.850791,4.907195
162.462151,35.492931,4.681577,5.414836
167.262286,28.716600,5.076409,5.076409
173.874472,30.229029,4.907195,5.076409
179.348749,26.159101,4.568768,4.455959
184.910192,28.603898,4.935398,5.048207
187.208468,25.554329,3.130452,3.017643
191.005406,23.263852,2.876632,3.102250
194.388386,21.820120,3.074048,3.186857
197.341559,20.038637,2.989441,3.271464
