# Haystack data during the superior conjunction of Venus 1970/1971
# Meaning of columns: MJD, Delay in microsec, upper error, lower error
-185.685636,31.732112,4.822589,4.822589
-177.751384,20.804970,6.599332,6.599332
-168.450556,32.550762,9.560570,10.575852
-164.188720,33.220846,7.699220,6.430118
-156.297304,34.985065,4.907195,4.737982
-150.793594,33.114914,8.911918,10.886077
-143.540096,34.880148,7.022366,7.247984
-134.824161,34.697056,9.560570,8.940120
-59.139980,81.111314,14.129339,15.313834
-18.137466,125.973219,14.383159,15.116418
-14.969390,124.360612,17.682825,14.806193
-11.625669,151.768482,14.919002,14.467766
-8.113639,159.969927,14.552373,14.552373
0.697567,182.800228,10.265627,10.491245
3.537538,172.558064,14.411361,15.370239
8.115979,165.105217,12.042370,9.447761
9.950488,159.179693,14.975407,14.467766
47.009901,84.157460,6.514725,7.022366
52.287387,81.272366,14.749789,15.201025
59.653907,75.591862,10.096414,9.504166
130.316485,48.658440,10.068211,10.068211
139.408841,28.930158,7.106973,7.106973
144.732046,34.759678,6.796748,4.991802
149.683434,33.990319,4.850791,4.907195
157.776169,34.908131,7.022366,6.683939
159.981619,24.920803,9.729784,9.278548
167.233986,26.601430,9.729784,9.786189
172.717319,23.208356,4.653375,4.371352
